A,w1,relative_w1,critical_w1,amplitude,simulation_number,N
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,0,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,1,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,0,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,1,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,0,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,1,128
0.0,4.0348680723879,0.1,3.9348680723879,2.768039481573297,0,128
0.0,4.0348680723879,0.1,3.9348680723879,2.768039481573297,1,128
0.0,4.1348680723879,0.2,3.9348680723879,3.751787771123411,0,128
0.0,4.1348680723879,0.2,3.9348680723879,3.751787771123411,1,128
1.1111111111111112,3.501326771704653,-0.2,3.701326771704653,0.30147369912065297,0,128
1.1111111111111112,3.501326771704653,-0.2,3.701326771704653,0.4395069793302542,1,128
1.1111111111111112,3.601326771704653,-0.1,3.701326771704653,0.26866068753808736,0,128
1.1111111111111112,3.601326771704653,-0.1,3.701326771704653,0.09012007055700581,1,128
1.1111111111111112,3.701326771704653,0.0,3.701326771704653,0.4669848951005017,0,128
1.1111111111111112,3.701326771704653,0.0,3.701326771704653,0.5710140786315203,1,128
1.1111111111111112,3.801326771704653,0.1,3.701326771704653,1.5094006758577123,0,128
1.1111111111111112,3.801326771704653,0.1,3.701326771704653,1.1808654197206718,1,128
1.1111111111111112,3.901326771704653,0.2,3.701326771704653,2.161144805116136,0,128
1.1111111111111112,3.901326771704653,0.2,3.701326771704653,1.5488335208747641,1,128
2.2222222222222223,3.404590797587399,-0.2,3.604590797587399,0.26191061166139007,0,128
2.2222222222222223,3.404590797587399,-0.2,3.604590797587399,0.7393580666009476,1,128
2.2222222222222223,3.504590797587399,-0.1,3.604590797587399,0.42143280385404164,0,128
2.2222222222222223,3.504590797587399,-0.1,3.604590797587399,0.26019715516890485,1,128
2.2222222222222223,3.604590797587399,0.0,3.604590797587399,0.8639720575550242,0,128
2.2222222222222223,3.604590797587399,0.0,3.604590797587399,0.8600503478418373,1,128
2.2222222222222223,3.7045907975873993,0.1,3.604590797587399,0.099463009545561,0,128
2.2222222222222223,3.7045907975873993,0.1,3.604590797587399,0.20985694175242048,1,128
2.2222222222222223,3.8045907975873994,0.2,3.604590797587399,0.8120785912496781,0,128
2.2222222222222223,3.8045907975873994,0.2,3.604590797587399,1.4478177722819663,1,128
3.3333333333333335,3.330362673938796,-0.2,3.530362673938796,0.4377898746456435,0,128
3.3333333333333335,3.330362673938796,-0.2,3.530362673938796,0.3881306248489833,1,128
3.3333333333333335,3.430362673938796,-0.1,3.530362673938796,0.33210522026542283,0,128
3.3333333333333335,3.430362673938796,-0.1,3.530362673938796,0.32481898524957964,1,128
3.3333333333333335,3.530362673938796,0.0,3.530362673938796,0.42266749900301454,0,128
3.3333333333333335,3.530362673938796,0.0,3.530362673938796,0.9191109412998517,1,128
3.3333333333333335,3.630362673938796,0.1,3.530362673938796,0.7134947731813799,0,128
3.3333333333333335,3.630362673938796,0.1,3.530362673938796,0.6107095132142583,1,128
3.3333333333333335,3.7303626739387963,0.2,3.530362673938796,0.4118318066590609,0,128
3.3333333333333335,3.7303626739387963,0.2,3.530362673938796,1.210747446060228,1,128
4.444444444444445,3.267785471021406,-0.2,3.467785471021406,0.2781327906813142,0,128
4.444444444444445,3.267785471021406,-0.2,3.467785471021406,0.5794218633519905,1,128
4.444444444444445,3.367785471021406,-0.1,3.467785471021406,0.18664421374851717,0,128
4.444444444444445,3.367785471021406,-0.1,3.467785471021406,0.5847242027036383,1,128
4.444444444444445,3.467785471021406,0.0,3.467785471021406,0.3940896613821477,0,128
4.444444444444445,3.467785471021406,0.0,3.467785471021406,0.45716717442508126,1,128
4.444444444444445,3.567785471021406,0.1,3.467785471021406,0.8382244566761998,0,128
4.444444444444445,3.567785471021406,0.1,3.467785471021406,0.1968145468889586,1,128
4.444444444444445,3.667785471021406,0.2,3.467785471021406,0.4574659508811472,0,128
4.444444444444445,3.667785471021406,0.2,3.467785471021406,0.3275592992274182,1,128
5.555555555555555,3.2126538485064415,-0.2,3.4126538485064417,0.24171881261483957,0,128
5.555555555555555,3.2126538485064415,-0.2,3.4126538485064417,0.17561349628987227,1,128
5.555555555555555,3.3126538485064416,-0.1,3.4126538485064417,0.38153498609689185,0,128
5.555555555555555,3.3126538485064416,-0.1,3.4126538485064417,0.6337281876803705,1,128
5.555555555555555,3.4126538485064417,0.0,3.4126538485064417,0.637975173377215,0,128
5.555555555555555,3.4126538485064417,0.0,3.4126538485064417,0.46540556675932,1,128
5.555555555555555,3.512653848506442,0.1,3.4126538485064417,0.2640659164220608,0,128
